GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
29,MO,Missouri,2012,76,2,Y,50,2,Y,26,1,Y,14,1,Y,25,3,Y,22,3,Y,9,1,N,6,0,N
30,MT,Montana,2012,9,1,N,4,1,N,5,1,N,1,1,N,4,3,N,2,2,N,2,1,N,-1,-1,N
31,NE,Nebraska,2012,28,2,Y,10,1,N,18,2,Y,11,4,N,6,2,N,6,3,N,3,1,N,2,0,N
32,NV,Nevada,2012,42,2,Y,26,2,Y,16,1,Y,7,2,N,15,4,Y,7,2,N,10,3,N,3,0,N
33,NH,New Hampshire,2012,39,3,Y,16,3,Y,23,4,Y,8,4,N,14,9,Y,8,5,N,5,2,N,4,1,N
34,NJ,New Jersey,2012,334,4,Y,151,4,Y,183,5,Y,64,5,Y,100,9,Y,67,6,Y,65,5,Y,37,2,Y
35,NM,New Mexico,2012,38,2,Y,22,3,Y,16,2,Y,3,1,N,13,5,Y,8,3,N,10,4,N,4,1,N
36,NY,New York,2012,999,6,Y,587,7,Y,412,5,Y,177,5,Y,322,12,Y,220,9,Y,174,6,Y,102,2,Y
37,NC,North Carolina,2012,214,3,Y,99,3,Y,115,3,Y,43,3,Y,53,4,Y,54,4,Y,49,4,Y,15,1,Y
38,ND,North Dakota,2012,3,1,N,3,1,N,-1,-1,N,-1,-1,N,2,2,N,-1,-1,N,1,1,N,-1,-1,N
39,OH,Ohio,2012,198,2,Y,96,2,Y,102,2,Y,46,2,Y,75,5,Y,45,3,Y,24,1,Y,8,0,N
40,OK,Oklahoma,2012,38,1,Y,25,2,Y,13,1,Y,3,0,N,14,3,Y,7,1,N,7,1,N,7,1,N
41,OR,Oregon,2012,83,3,Y,36,2,Y,47,3,Y,19,3,Y,28,5,Y,16,3,Y,9,2,N,10,1,N
42,PA,Pennsylvania,2012,394,4,Y,186,4,Y,208,4,Y,96,5,Y,134,9,Y,70,4,Y,59,3,Y,31,1,Y
44,RI,Rhode Island,2012,68,8,Y,29,7,Y,39,8,Y,9,5,N,19,15,Y,20,15,Y,15,10,Y,6,2,N
45,SC,South Carolina,2012,72,2,Y,34,2,Y,38,2,Y,11,1,N,26,4,Y,16,3,Y,13,2,Y,5,0,N
46,SD,South Dakota,2012,6,1,N,3,1,N,3,1,N,-1,-1,N,4,4,N,-1,-1,N,1,1,N,1,0,N
47,TN,Tennessee,2012,100,2,Y,58,2,Y,42,2,Y,21,2,Y,33,4,Y,21,2,Y,16,2,Y,9,1,N
48,TX,Texas,2012,519,2,Y,314,3,Y,205,2,Y,70,2,Y,152,4,Y,114,3,Y,123,4,Y,59,1,Y
49,UT,Utah,2012,28,1,Y,18,2,Y,10,1,N,3,1,N,8,2,N,11,3,N,5,2,N,1,0,N
50,VT,Vermont,2012,8,1,N,3,1,N,5,2,N,2,2,N,2,3,N,3,4,N,1,1,N,-1,-1,N
51,VA,Virginia,2012,256,4,Y,147,4,Y,109,3,Y,33,2,Y,98,9,Y,53,5,Y,56,5,Y,16,1,Y
53,WA,Washington,2012,188,3,Y,104,4,Y,84,3,Y,35,3,Y,59,6,Y,42,5,Y,31,3,Y,22,1,Y
54,WV,West Virginia,2012,19,1,Y,10,1,N,9,1,N,1,0,N,7,3,N,7,3,N,2,1,N,2,0,N
55,WI,Wisconsin,2012,82,2,Y,50,2,Y,32,1,Y,15,2,Y,18,2,Y,26,4,Y,14,2,Y,9,1,N
56,WY,Wyoming,2012,2,0,N,1,0,N,1,0,N,-1,-1,N,-1,-1,N,1,1,N,-1,-1,N,1,1,N
72,PR,Puerto Rico,2012,15,0,Y,8,1,N,7,0,N,3,0,N,4,1,N,5,1,N,3,1,N,-1,-1,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,
